2026-09-01 15:53:43,691 | MainThread | INFO | 
============================================================
2026-09-01 15:53:43,691 | MainThread | INFO |   TOWERBRAWL — 4-Player Family Server
2026-09-01 15:53:43,691 | MainThread | INFO |   Phones / tablets  -> https://192.168.4.21:8443
2026-09-01 15:53:43,691 | MainThread | INFO |   PC / browser      -> http://192.168.4.21:8000
2026-09-01 15:53:43,691 | MainThread | INFO |   WS + WSS share ONE lobby. Everyone sees everyone.
2026-09-01 15:53:43,691 | MainThread | INFO | ============================================================

2026-09-01 15:53:43,691 | Thread-1 (start_ws) | INFO | WS  relay → ws://0.0.0.0:8081
2026-09-01 15:53:43,693 | Thread-2 (start_wss) | INFO | WSS relay → wss://0.0.0.0:8444
2026-09-01 15:54:00,682 | Thread-4 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56882)
2026-09-01 15:54:00,906 | Thread-5 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56886)
2026-09-01 15:54:01,055 | Thread-6 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56896)
2026-09-01 15:54:01,193 | Thread-7 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56908)
2026-09-01 15:54:01,493 | Thread-8 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56924)
2026-09-01 15:54:01,534 | Thread-5 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:01,535 | Thread-5 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P1
2026-09-01 15:54:01,535 | Thread-5 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 1, "active_players": [1], "player_names": {}}
2026-09-01 15:54:01,535 | Thread-5 (process_request_thread) | DEBUG | RECV from P1: {"type": "lock_in", "class": 3}
2026-09-01 15:54:01,535 | Thread-5 (process_request_thread) | INFO | [MERGED-WS] P1 LOCKED IN as class 3
2026-09-01 15:54:01,535 | Thread-5 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 3, "sender": 1}
2026-09-01 15:54:01,759 | Thread-9 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56926)
2026-09-01 15:54:01,787 | Thread-8 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:01,788 | Thread-8 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P2
2026-09-01 15:54:01,788 | Thread-8 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 2, "active_players": [1, 2], "player_names": {}}
2026-09-01 15:54:01,788 | Thread-8 (process_request_thread) | DEBUG | RECV from P2: {"type": "lock_in", "class": 3}
2026-09-01 15:54:01,788 | Thread-8 (process_request_thread) | INFO | [MERGED-WS] P2 LOCKED IN as class 3
2026-09-01 15:54:01,788 | Thread-8 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 3, "sender": 2}
2026-09-01 15:54:02,029 | Thread-7 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:02,029 | Thread-7 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P3
2026-09-01 15:54:02,029 | Thread-7 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 3, "active_players": [1, 2, 3], "player_names": {}}
2026-09-01 15:54:02,029 | Thread-7 (process_request_thread) | DEBUG | RECV from P3: {"type": "lock_in", "class": 2}
2026-09-01 15:54:02,029 | Thread-7 (process_request_thread) | INFO | [MERGED-WS] P3 LOCKED IN as class 2
2026-09-01 15:54:02,029 | Thread-7 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 2, "sender": 3}
2026-09-01 15:54:02,075 | Thread-10 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56928)
2026-09-01 15:54:02,450 | Thread-11 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56940)
2026-09-01 15:54:02,544 | Thread-9 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:02,544 | Thread-9 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P4
2026-09-01 15:54:02,545 | Thread-9 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 4, "active_players": [1, 2, 3, 4], "player_names": {}}
2026-09-01 15:54:02,545 | Thread-9 (process_request_thread) | DEBUG | RECV from P4: {"type": "lock_in", "class": 1}
2026-09-01 15:54:02,545 | Thread-9 (process_request_thread) | INFO | [MERGED-WS] P4 LOCKED IN as class 1
2026-09-01 15:54:02,545 | Thread-9 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 1, "sender": 4}
2026-09-01 15:54:02,596 | Thread-12 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56950)
2026-09-01 15:54:02,836 | Thread-13 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56960)
2026-09-01 15:54:02,957 | Thread-14 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56972)
2026-09-01 15:54:03,038 | Thread-13 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:03,063 | Thread-10 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:03,169 | Thread-12 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:03,326 | Thread-11 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:03,444 | Thread-15 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56980)
2026-09-01 15:54:03,897 | Thread-16 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56982)
2026-09-01 15:54:04,054 | Thread-17 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56992)
2026-09-01 15:54:04,315 | Thread-17 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:04,320 | Thread-15 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:04,501 | Thread-18 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 56994)
2026-09-01 15:54:04,812 | Thread-16 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:04,836 | Thread-19 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44704)
2026-09-01 15:54:05,037 | Thread-19 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:05,054 | Thread-20 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44706)
2026-09-01 15:54:05,256 | Thread-18 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:05,336 | Thread-21 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44712)
2026-09-01 15:54:05,554 | Thread-22 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44722)
2026-09-01 15:54:05,647 | Thread-20 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:05,716 | Thread-23 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44726)
2026-09-01 15:54:05,914 | Thread-24 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44736)
2026-09-01 15:54:06,115 | Thread-21 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:06,344 | Thread-22 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:06,359 | Thread-25 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44748)
2026-09-01 15:54:06,519 | Thread-23 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:06,552 | Thread-5 (process_request_thread) | INFO | [MERGED-WS] P1 LEFT    remaining=[2, 3, 4]
2026-09-01 15:54:06,552 | Thread-5 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 1, "active_players": [2, 3, 4]}
2026-09-01 15:54:06,596 | Thread-26 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44762)
2026-09-01 15:54:06,895 | Thread-27 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44776)
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P1
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 1, "active_players": [1, 2, 3, 4], "player_names": {}}
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | DEBUG | RECV from P1: {"type": "lock_in", "class": 1}
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | INFO | [MERGED-WS] P1 LOCKED IN as class 1
2026-09-01 15:54:07,221 | Thread-25 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 1, "sender": 1}
2026-09-01 15:54:07,271 | Thread-27 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:07,299 | Thread-28 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44778)
2026-09-01 15:54:07,648 | Thread-28 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:10,523 | Thread-23 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:13,265 | Thread-18 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:13,329 | Thread-15 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:14,278 | Thread-27 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:18,661 | Thread-20 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:22,237 | Thread-9 (process_request_thread) | INFO | [MERGED-WS] P4 LEFT    remaining=[1, 2, 3]
2026-09-01 15:54:22,237 | Thread-9 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 4, "active_players": [1, 2, 3]}
2026-09-01 15:54:24,061 | Thread-19 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:25,241 | Thread-7 (process_request_thread) | INFO | [MERGED-WS] P3 LEFT    remaining=[1, 2]
